
Windows PowerShell

Try the new cross-platform PowerShell https://aka.ms/pscore6

PS C:\Users\aziub\Downloads\LatticeBoltzmannDemo> & "C:/Program Files/Python310/python.exe" c:/Users/aziub/Downloads/LatticeBoltzmannDemo/LatticeBoltzmannDemo.py
(18.027763 frames per second)
         666517 function calls (634389 primitive calls) in 5.552 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 _base.py:855(get_xaxis_text1_transform)
        8    0.000    0.000    0.000    0.000 _base.py:881(get_xaxis_text2_transform)
    72/40    0.000    0.000    0.001    0.000 _base.py:907(get_yaxis_transform)
        8    0.000    0.000    0.000    0.000 _base.py:931(get_yaxis_text1_transform)
        8    0.000    0.000    0.000    0.000 _base.py:957(get_yaxis_text2_transform)
        4    0.000    0.000    0.000    0.000 _base.py:993(get_position)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:315(__subclasshook__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:381(__subclasshook__)
       24    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:836(values)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:854(__init__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:857(__len__)
       20    0.000    0.000    0.000    0.000 _collections_abc.py:920(__iter__)
      102    0.000    0.000    0.000    0.000 _internal.py:250(__init__)
      102    0.000    0.000    0.000    0.000 _internal.py:304(data)
      242    0.000    0.000    0.000    0.000 _methods.py:101(_clip_dep_is_byte_swapped)
      121    0.195    0.002    0.195    0.002 _methods.py:106(_clip_dep_invoke_with_casting)
      121    0.001    0.000    0.200    0.002 _methods.py:125(_clip)
       16    0.000    0.000    0.000    0.000 _methods.py:274(_ptp)
      194    0.000    0.000    0.002    0.000 _methods.py:38(_amax)
      154    0.000    0.000    0.002    0.000 _methods.py:42(_amin)
       16    0.000    0.000    0.000    0.000 _methods.py:46(_sum)
      211    0.000    0.000    0.004    0.000 _methods.py:54(_any)
        1    0.000    0.000    0.000    0.000 _methods.py:60(_all)
      242    0.002    0.000    0.004    0.000 _methods.py:91(_clip_dep_is_scalar_nan)
        2    0.000    0.000    0.000    0.000 _pylab_helpers.py:95(get_all_fig_managers)
      204    0.001    0.000    0.001    0.000 _ufunc_config.py:131(geterr)
      204    0.001    0.000    0.002    0.000 _ufunc_config.py:32(seterr)
      102    0.000    0.000    0.000    0.000 _ufunc_config.py:425(__init__)
      102    0.000    0.000    0.002    0.000 _ufunc_config.py:429(__enter__)
      102    0.000    0.000    0.001    0.000 _ufunc_config.py:434(__exit__)
     1690    0.001    0.000    0.002    0.000 abc.py:117(__instancecheck__)
    72/34    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
      101    0.000    0.000    5.035    0.050 animation.py:1179(_step)
      101    0.001    0.000    5.034    0.050 animation.py:1204(_draw_next_frame)
        2    0.000    0.000    0.000    0.000 animation.py:1211(_init_draw)
      101    0.000    0.000    0.021    0.000 animation.py:1216(_pre_draw)
      101    0.000    0.000    1.989    0.020 animation.py:1227(_post_draw)
      100    0.002    0.000    1.988    0.020 animation.py:1237(_blit_draw)
      100    0.000    0.000    0.000    0.000 animation.py:1240(<setcomp>)
      101    0.001    0.000    0.020    0.000 animation.py:1259(_blit_clear)
      101    0.000    0.000    0.000    0.000 animation.py:1263(<setcomp>)
        1    0.000    0.000    0.056    0.056 animation.py:1283(_on_resize)
        1    0.000    0.000    0.000    0.000 animation.py:1295(_end_redraw)
      101    0.001    0.000    5.036    0.050 animation.py:1469(_step)
        2    0.000    0.000    0.000    0.000 animation.py:1711(new_frame_seq)
        2    0.000    0.000    0.108    0.054 animation.py:1746(_init_draw)
      103    0.002    0.000    3.132    0.030 animation.py:1765(_draw_frame)
      204    0.000    0.000    0.000    0.000 animation.py:1794(<lambda>)
        1    0.000    0.000    0.052    0.052 animation.py:979(_start)
      204    0.000    0.000    0.000    0.000 artist.py:1005(set_animated)
      160    0.002    0.000    0.011    0.000 artist.py:1038(update)
      206    0.000    0.000    0.000    0.000 artist.py:1090(get_zorder)
       32    0.000    0.000    0.000    0.000 artist.py:1094(set_zorder)
      320    0.000    0.000    0.000    0.000 artist.py:1109(sticky_edges)
       80    0.001    0.000    0.001    0.000 artist.py:1131(update_from)
       80    0.000    0.000    0.017    0.000 artist.py:1152(set)
      246    0.000    0.000    0.001    0.000 artist.py:193(convert_xunits)
      246    0.000    0.000    0.000    0.000 artist.py:205(convert_yunits)
     2030    0.001    0.000    0.001    0.000 artist.py:217(axes)
      112    0.000    0.000    0.000    0.000 artist.py:222(axes)
3737/3107    0.004    0.000    0.007    0.000 artist.py:241(stale)
  438/202    0.012    0.000    2.044    0.010 artist.py:33(draw_wrapper)
      546    0.000    0.000    0.002    0.000 artist.py:356(pchanged)
       80    0.000    0.000    0.000    0.000 artist.py:377(set_transform)
      558    0.001    0.000    0.001    0.000 artist.py:390(get_transform)
