
Windows PowerShell

Try the new cross-platform PowerShell https://aka.ms/pscore6

PS C:\Users\aziub\Downloads\LatticeBoltzmannDemo> & "C:/Program Files/Python310/python.exe" c:/Users/aziub/Downloads/LatticeBoltzmannDemo/LatticeBoltzmannDemo.py
(18.027763 frames per second)
         668688 function calls (636552 primitive calls) in 5.554 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      375    0.001    0.000    0.002    0.000 transforms.py:1829(transform_affine)
      736    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      375    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.affine_transform}
      101    0.001    0.000    5.050    0.050 _backend_tk.py:138(_on_timer)
      900    0.001    0.000    0.008    0.000 transforms.py:1315(__add__)
      568    0.001    0.000    0.005    0.000 colors.py:132(_is_nth_color)
       80    0.001    0.000    0.002    0.000 __init__.py:1726(normalize_kwargs)
     1698    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
  558/556    0.001    0.000    0.107    0.000 __init__.py:259(process)
      940    0.001    0.000    0.008    0.000 <__array_function__ internals>:2(amax)
     3819    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      460    0.001    0.000    0.005    0.000 transforms.py:336(xmax)
      326    0.001    0.000    0.002    0.000 transforms.py:2381(transform_non_affine)
     3974    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      566    0.001    0.000    0.001    0.000 artist.py:390(get_transform)
     1868    0.001    0.000    0.002    0.000 transforms.py:222(<lambda>)
      850    0.001    0.000    0.001    0.000 enum.py:670(__new__)
       16    0.001    0.000    0.008    0.000 ticker.py:2202(_raw_ticks)
      245    0.001    0.000    0.001    0.000 fromnumeric.py:3127(ndim)
      102    0.001    0.000    0.007    0.000 core.py:5660(min)
      432    0.001    0.000    0.002    0.000 transforms.py:2004(translate)
      516    0.001    0.000    0.001    0.000 function_base.py:244(iterable)
      626    0.001    0.000    0.001    0.000 transforms.py:266(x0)
      391    0.001    0.000    0.002    0.000 contextlib.py:139(__exit__)
      240    0.001    0.000    0.001    0.000 transforms.py:356(intervalx)
      102    0.001    0.000    0.011    0.000 __init__.py:735(safe_masked_invalid)
     1398    0.001    0.000    0.001    0.000 transforms.py:1739(<lambda>)
      101    0.001    0.000    5.045    0.050 animation.py:1469(_step)
      103    0.001    0.000    0.003    0.000 backend_agg.py:411(get_renderer)
      468    0.001    0.000    0.005    0.000 transforms.py:341(ymax)
      102    0.001    0.000    0.216    0.002 backend_tkagg.py:12(blit)
      204    0.001    0.000    0.001    0.000 _ufunc_config.py:131(geterr)
      714    0.001    0.000    0.001    0.000 core.py:1278(_replace_dtype_fields_recursive)
       64    0.001    0.000    0.001    0.000 transforms.py:650(translated)
      128    0.001    0.000    0.003    0.000 markers.py:296(_set_marker)
      326    0.001    0.000    0.015    0.000 transforms.py:2377(transform_affine)
      121    0.001    0.000    0.203    0.002 _methods.py:125(_clip)
      200    0.001    0.000    1.737    0.009 _base.py:2926(draw_artist)
        8    0.001    0.000    0.069    0.009 axis.py:1023(_update_ticks)
      408    0.001    0.000    0.001    0.000 core.py:3230(_scalar_heuristic)
      421    0.001    0.000    0.001    0.000 transforms.py:374(width)
      280    0.001    0.000    0.004    0.000 artist.py:876(_set_gc_clip)
      608    0.001    0.000    0.001    0.000 {built-in method math.ceil}
      466    0.001    0.000    0.005    0.000 transforms.py:331(ymin)
      102    0.001    0.000    0.203    0.002 _backend_tk.py:53(_blit)
       32    0.001    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      309    0.001    0.000    0.002    0.000 numerictypes.py:358(issubdtype)
      391    0.001    0.000    0.002    0.000 contextlib.py:279(helper)
     1698    0.001    0.000    0.002    0.000 abc.py:117(__instancecheck__)
      704    0.001    0.000    0.001    0.000 __init__.py:100(check_in_list)
     2638    0.001    0.000    0.001    0.000 multiarray.py:736(dot)
     1138    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
     2062    0.001    0.000    0.001    0.000 artist.py:217(axes)
     4722    0.001    0.000    0.001    0.000 inspect.py:2690(kind)
      235    0.001    0.000    0.205    0.001 fromnumeric.py:51(_wrapfunc)
      280    0.001    0.000    0.011    0.000 backend_bases.py:674(new_gc)
      703    0.001    0.000    0.001    0.000 font_manager.py:1122(_expand_aliases)
      927    0.001    0.000    0.001    0.000 __init__.py:1879(_str_equal)
      618    0.001    0.000    0.001    0.000 numerictypes.py:284(issubclass_)
     3246    0.001    0.000    0.001    0.000 transforms.py:1789(get_affine)
      204    0.001    0.000    0.003    0.000 _base.py:3746(get_ylim)
      200    0.001    0.000    0.012    0.000 _base.py:4062(_get_view)
      158    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     1450    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.001    0.001    0.001    0.001 backend_agg.py:85(__init__)
      978    0.001    0.000    0.001    0.000 __init__.py:911(<listcomp>)
        1    0.001    0.001    0.001    0.001 font_manager.py:1403(_get_font)
      112    0.001    0.000    0.001    0.000 font_manager.py:813(set_weight)
        7    0.001    0.000    0.001    0.000 {method 'globalsetvar' of '_tkinter.tkapp' objects}
       96    0.001    0.000    0.002    0.000 text.py:834(get_prop_tup)
       64    0.001    0.000    0.023    0.000 font_manager.py:1248(findfont)
       80    0.001    0.000    0.001    0.000 artist.py:1131(update_from)
      101    0.001    0.000    5.043    0.050 animation.py:1204(_draw_next_frame)
       16    0.001    0.000    0.002    0.000 ticker.py:884(_set_format)
       32    0.001    0.000    0.001    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
      714    0.001    0.000    0.002    0.000 core.py:1324(make_mask_descr)
      408    0.001    0.000    0.026    0.000 transforms.py:1443(__array__)
      716    0.001    0.000    0.001    0.000 transforms.py:2562(get_matrix)
      102    0.001    0.000    0.001    0.000 _internal.py:250(__init__)
      102    0.001    0.000    0.005    0.000 numeric.py:218(ones_like)
      102    0.000    0.000    0.005    0.000 core.py:5794(max)
      208    0.000    0.000    0.004    0.000 {method 'any' of 'numpy.ndarray' objects}
      101    0.000    0.000    5.046    0.050 backend_bases.py:1209(_on_timer)
       32    0.000    0.000    0.008    0.000 backend_agg.py:190(draw_text)
      103    0.000    0.000    0.003    0.000 __init__.py:825(after)
      391    0.000    0.000    0.004    0.000 contextlib.py:130(__enter__)
      429    0.000    0.000    0.001    0.000 transforms.py:380(height)
      480    0.000    0.000    0.009    0.000 _base.py:780(viewLim)
      306    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(min_scalar_type)
      546    0.000    0.000    0.002    0.000 artist.py:356(pchanged)
      204    0.000    0.000    0.001    0.000 numerictypes.py:230(obj2sctype)
      324    0.000    0.000    0.001    0.000 backend_bases.py:953(set_foreground)
2331/2327    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      248    0.000    0.000    0.001    0.000 backend_bases.py:885(set_alpha)
        3    0.000    0.000    0.002    0.001 colors.py:438(_create_lookup_table)
     1032    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      208    0.000    0.000    0.002    0.000 markers.py:238(_recache)
      102    0.000    0.000    0.002    0.000 _ufunc_config.py:434(__exit__)
      204    0.000    0.000    0.003    0.000 core.py:280(_extremum_fill_value)
      101    0.000    0.000    5.044    0.050 animation.py:1179(_step)
       64    0.000    0.000    0.001    0.000 spines.py:330(get_spine_transform)
  528/312    0.000    0.000    0.002    0.000 {built-in method builtins.hash}
      204    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.generic' objects}
     1970    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       71    0.000    0.000    0.002    0.000 fromnumeric.py:38(_wrapit)
      705    0.000    0.000    0.001    0.000 __init__.py:1446(debug)
      101    0.000    0.000    1.946    0.019 animation.py:1227(_post_draw)
      204    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
      166    0.000    0.000    0.001    0.000 text.py:820(get_unitless_position)
      313    0.000    0.000    0.002    0.000 artist.py:82(_stale_axes_callback)
      628    0.000    0.000    0.001    0.000 transforms.py:276(y0)
      144    0.000    0.000    0.001    0.000 font_manager.py:849(set_size)
       48    0.000    0.000    0.000    0.000 stride_tricks.py:414(_broadcast_shape)
      371    0.000    0.000    0.003    0.000 transforms.py:1763(transform)
      105    0.000    0.000    0.000    0.000 {method 'createcommand' of '_tkinter.tkapp' objects}
      212    0.000    0.000    0.001    0.000 core.py:582(filled)
      619    0.000    0.000    0.000    0.000 transforms.py:2271(get_matrix)
      964    0.000    0.000    0.000    0.000 _base.py:769(<genexpr>)
      121    0.000    0.000    0.204    0.002 fromnumeric.py:2046(clip)
      121    0.000    0.000    0.205    0.002 <__array_function__ internals>:2(clip)
       48    0.000    0.000    0.001    0.000 shape_base.py:612(column_stack)
      280    0.000    0.000    0.000    0.000 backend_bases.py:1015(get_hatch_path)
      204    0.000    0.000    0.001    0.000 numerictypes.py:435(__getitem__)
      408    0.000    0.000    0.000    0.000 image.py:836(get_filterrad)
       32    0.000    0.000    0.028    0.001 axis.py:294(draw)
      101    0.000    0.000    0.000    0.000 animation.py:1263(<setcomp>)
       64    0.000    0.000    0.001    0.000 font_manager.py:1417(get_font)
      103    0.000    0.000    5.321    0.052 __init__.py:837(callit)
      121    0.000    0.000    0.203    0.002 {method 'clip' of 'numpy.ndarray' objects}
       80    0.000    0.000    0.000    0.000 transforms.py:2879(_interval_contains_close)
      245    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(ndim)
       64    0.000    0.000    0.025    0.000 backend_agg.py:269(_get_agg_font)
      113    0.000    0.000    5.380    0.048 __init__.py:1916(__call__)
       40    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
      732    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       32    0.000    0.000    0.007    0.000 text.py:129(__init__)
      618    0.000    0.000    0.000    0.000 transforms.py:2616(get_matrix)
       32    0.000    0.000    0.030    0.001 backend_agg.py:217(get_text_width_height_descent)
      204    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.generic' objects}
      100    0.000    0.000    0.014    0.000 backend_agg.py:395(restore_region)
      305    0.000    0.000    0.001    0.000 transforms.py:263(__array__)
      963    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       64    0.000    0.000    0.000    0.000 {built-in method builtins.round}
     2364    0.000    0.000    0.000    0.000 inspect.py:2678(name)
       16    0.000    0.000    0.000    0.000 transforms.py:2799(nonsingular)
       80    0.000    0.000    0.000    0.000 __init__.py:1791(<dictcomp>)
       48    0.000    0.000    0.000    0.000 text.py:40(get_rotation)
       16    0.000    0.000    0.001    0.000 ticker.py:808(_compute_offset)
      154    0.000    0.000    0.003    0.000 {method 'min' of 'numpy.ndarray' objects}
       16    0.000    0.000    0.001    0.000 ticker.py:847(_set_order_of_magnitude)
      102    0.000    0.000    0.005    0.000 core.py:7907(asarray)
      240    0.000    0.000    0.000    0.000 transforms.py:365(intervaly)
      128    0.000    0.000    0.001    0.000 markers.py:267(_set_fillstyle)
       48    0.000    0.000    0.001    0.000 lines.py:1111(set_linestyle)
      318    0.000    0.000    0.001    0.000 pyplot.py:822(_auto_draw_if_interactive)
      102    0.000    0.000    0.002    0.000 core.py:3123(view)
      840    0.000    0.000    0.000    0.000 __init__.py:79(<genexpr>)
      204    0.000    0.000    0.000    0.000 colors.py:1226(autoscale_None)
      978    0.000    0.000    0.000    0.000 __init__.py:861(<listcomp>)
